finishtime,horsecode,lbw,runningpositions,winoddsrank,racedate,timeperm,jockeycode,marginsbehindleader,todaysrunners,racecoursecode,horsewt,sec_timelist,racenumber,draw,hkjcres16_item,actualwt,horseno,horsereport,trainercode,place,winodds
102.8,T300,9.25,5>4>5>12,[3],20160106,[0.019],BEG,"[2.5, 2.0, 3.0, 9.25, None, None]","N389,P200,T300,T385,P268,P344,M057,S328,M228,M193,S192,S070",HV,1009,"[27.75, 24.18, 25.15, 25.72, None, None]",4,3,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'21.00',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl3_combo_div': u'6/7 1,513.50',
 'dbltrio1_combo_div': u'1,4,6/7,8,11 1,892,736.00',
 'f4_combo_div': u'4,7,8,11 13,172.00',
 'finishtime': 101.33,
 'going': u'GOOD',
 'place_combo_div': u'7 77.50',
 'qn_combo_div': u'7,8 1,862.50',
 'qnp_combo_div': u'7,8 478.00',
 'qtt_combo_div': u'7,8,11,4 431,032.00',
 'raceclass': u'Class 4',
 'racedistance': 1650,
 'raceindex': 305,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=4&All=0#Race4',
 'tce_combo_div': u'7,8,11 31,203.00',
 'trio_combo_div': u'7,8,11 4,741.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/4',
 'win_combo_div': u'7 261.00'}]",133,1,"FUNNY BUDDIES was crowded for room on jumping between BUSINESS AS USUAL which shifted out and ELEGANCE KLAMMER which shifted in after beginning awkwardlyWhen questioned regarding the disappointing performance of FUNNY BUDDIES, G Benoist stated that he was able to obtain a good position behind the leader BUSINESS AS USUAL in the early stagesHe said he became concerned with the manner in which FUNNY BUDDIES was travelling after the 900 Metres as the horse was reluctant to maintain its positon directly behind BUSINESS AS USUALHe said he had to ride FUNNY BUDDIES along after the 700 Metres in order to maintain its position and then after the 500 Metres had to place the horse under considerable pressureHe added, despite being vigorously ridden out, FUNNY BUDDIES did not respond to his riding and commenced to give ground rounding the Home TurnMr D J Hall, the trainer of FUNNY BUDDIES, stated that he was not able to offer any explanation for the horse's disappointing performance as he expected it to perform particularly well given its inside barrierHe said when being saddled up FUNNY BUDDIES became fractious and kicked the wall of the saddling stall, however, appeared to take no harm from the incident as it walked out freely and was also sound following the raceHe added FUNNY BUDDIES had done well since its most recent start and he was at a loss at this time to explain the horse's performanceA veterinary inspection of FUNNY BUDDIES immediately following the race did not show any significant findings",HAD,12,5.7
100.92,N148,0.0,9>9>8>1,,20160106,,FRA,"[8.5, 6.75, 5.25, 0.5, None, None]",,HV,1045,"[28.85, 22.75, 24.78, 24.54, None, None]",5,11,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'45.00',
 'courseconfig': u'TURF - ""A"" COURSE',
 'f4_combo_div': u'2,4,5,6 19,878.00',
 'finishtime': 100.92,
 'going': u'GOOD',
 'place_combo_div': u'2 121.00',
 'qn_combo_div': u'2,6 7,427.00',
 'qnp_combo_div': u'2,6 1,515.00',
 'qtt_combo_div': u'2,6,4,5 576,803.00',
 'raceclass': u'Class 4',
 'racedistance': 1650,
 'raceindex': 306,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=5&All=0#Race5',
 'tce_combo_div': u'2,6,4 95,730.00',
 'trio_combo_div': u'2,4,6 10,533.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/5',
 'win_combo_div': u'2 638.50'}]",132,2,,LKW,1,63.0
101.25,P067,2.0,10>10>10>3,,20160106,,YML,"[8.5, 8.25, 6.5, 2.0, None, None]",,HV,1115,"[28.85, 22.99, 24.74, 24.67, None, None]",5,10,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'45.00',
 'courseconfig': u'TURF - ""A"" COURSE',
 'f4_combo_div': u'2,4,5,6 19,878.00',
 'finishtime': 100.92,
 'going': u'GOOD',
 'place_combo_div': u'2 121.00',
 'qn_combo_div': u'2,6 7,427.00',
 'qnp_combo_div': u'2,6 1,515.00',
 'qtt_combo_div': u'2,6,4,5 576,803.00',
 'raceclass': u'Class 4',
 'racedistance': 1650,
 'raceindex': 306,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=5&All=0#Race5',
 'tce_combo_div': u'2,6,4 95,730.00',
 'trio_combo_div': u'2,4,6 10,533.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/5',
 'win_combo_div': u'2 638.50'}]",129,4,,LAL,3,17.0
101.3,T183,2.5,4>3>2>5,,20160106,,TEK,"[2.25, 1.75, 0.75, 2.5, None, None]",,HV,1088,"[27.85, 22.95, 24.86, 25.64, None, None]",5,1,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'45.00',
 'courseconfig': u'TURF - ""A"" COURSE',
 'f4_combo_div': u'2,4,5,6 19,878.00',
 'finishtime': 100.92,
 'going': u'GOOD',
 'place_combo_div': u'2 121.00',
 'qn_combo_div': u'2,6 7,427.00',
 'qnp_combo_div': u'2,6 1,515.00',
 'qtt_combo_div': u'2,6,4,5 576,803.00',
 'raceclass': u'Class 4',
 'racedistance': 1650,
 'raceindex': 306,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=5&All=0#Race5',
 'tce_combo_div': u'2,6,4 95,730.00',
 'trio_combo_div': u'2,4,6 10,533.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/5',
 'win_combo_div': u'2 638.50'}]",124,8,,OSP,5,2.2
101.75,S051,5.25,7>7>6>7,,20160106,,LHW,"[5.0, 5.0, 4.0, 5.25, None, None]",,HV,1174,"[28.29, 23.03, 24.86, 25.57, None, None]",5,4,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'45.00',
 'courseconfig': u'TURF - ""A"" COURSE',
 'f4_combo_div': u'2,4,5,6 19,878.00',
 'finishtime': 100.92,
 'going': u'GOOD',
 'place_combo_div': u'2 121.00',
 'qn_combo_div': u'2,6 7,427.00',
 'qnp_combo_div': u'2,6 1,515.00',
 'qtt_combo_div': u'2,6,4,5 576,803.00',
 'raceclass': u'Class 4',
 'racedistance': 1650,
 'raceindex': 306,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=5&All=0#Race5',
 'tce_combo_div': u'2,6,4 95,730.00',
 'trio_combo_div': u'2,4,6 10,533.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/5',
 'win_combo_div': u'2 638.50'}]",117,11,,NTK,7,64.0
102.35,S215,9.0,6>4>3>9,,20160106,,BEG,"[4.25, 3.25, 2.25, 9.0, None, None]",,HV,1057,"[28.17, 22.87, 24.86, 26.45, None, None]",5,7,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'45.00',
 'courseconfig': u'TURF - ""A"" COURSE',
 'f4_combo_div': u'2,4,5,6 19,878.00',
 'finishtime': 100.92,
 'going': u'GOOD',
 'place_combo_div': u'2 121.00',
 'qn_combo_div': u'2,6 7,427.00',
 'qnp_combo_div': u'2,6 1,515.00',
 'qtt_combo_div': u'2,6,4,5 576,803.00',
 'raceclass': u'Class 4',
 'racedistance': 1650,
 'raceindex': 306,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=5&All=0#Race5',
 'tce_combo_div': u'2,6,4 95,730.00',
 'trio_combo_div': u'2,4,6 10,533.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/5',
 'win_combo_div': u'2 638.50'}]",124,7,,MKL,9,23.0
104.03,V008,19.5,3>2>5>11,,20160106,,WD,"[1.0, 1.75, 3.5, 19.5, None, None]",,HV,1089,"[27.65, 23.15, 25.3, 27.93, None, None]",5,5,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'45.00',
 'courseconfig': u'TURF - ""A"" COURSE',
 'f4_combo_div': u'2,4,5,6 19,878.00',
 'finishtime': 100.92,
 'going': u'GOOD',
 'place_combo_div': u'2 121.00',
 'qn_combo_div': u'2,6 7,427.00',
 'qnp_combo_div': u'2,6 1,515.00',
 'qtt_combo_div': u'2,6,4,5 576,803.00',
 'raceclass': u'Class 4',
 'racedistance': 1650,
 'raceindex': 306,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=5&All=0#Race5',
 'tce_combo_div': u'2,6,4 95,730.00',
 'trio_combo_div': u'2,4,6 10,533.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/5',
 'win_combo_div': u'2 638.50'}]",132,3,,CAS,11,4.3
101.0,T055,0.5,11>11>9>2,[5],20160106,[0.0187],RN,"[10.75, 11.0, 5.75, 0.5, None, None]","T183,V008,P067,S215,T055,N148,S051",HV,1028,"[29.21, 23.07, 24.18, 24.54, None, None]",5,12,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'45.00',
 'courseconfig': u'TURF - ""A"" COURSE',
 'f4_combo_div': u'2,4,5,6 19,878.00',
 'finishtime': 100.92,
 'going': u'GOOD',
 'place_combo_div': u'2 121.00',
 'qn_combo_div': u'2,6 7,427.00',
 'qnp_combo_div': u'2,6 1,515.00',
 'qtt_combo_div': u'2,6,4,5 576,803.00',
 'raceclass': u'Class 4',
 'racedistance': 1650,
 'raceindex': 306,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=5&All=0#Race5',
 'tce_combo_div': u'2,6,4 95,730.00',
 'trio_combo_div': u'2,4,6 10,533.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/5',
 'win_combo_div': u'2 638.50'}]",127,6,"From the outside barriers, CHINA DELIGHT and THE SYLPH were shifted across behind runners in the early stagesPEARL WARM WARM, CHINA DELIGHT and THE SYLPH were sent for sampling",FD,2,26.0
101.29,S138,2.25,12>12>11>4,[3],20160106,[0.0187],CHV,"[14.0, 13.75, 8.25, 2.25, None, None]","T183,V008,S138,P067,S215,T055,N148,S051",HV,1039,"[29.73, 22.99, 24.14, 24.43, None, None]",5,8,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'45.00',
 'courseconfig': u'TURF - ""A"" COURSE',
 'f4_combo_div': u'2,4,5,6 19,878.00',
 'finishtime': 100.92,
 'going': u'GOOD',
 'place_combo_div': u'2 121.00',
 'qn_combo_div': u'2,6 7,427.00',
 'qnp_combo_div': u'2,6 1,515.00',
 'qtt_combo_div': u'2,6,4,5 576,803.00',
 'raceclass': u'Class 4',
 'racedistance': 1650,
 'raceindex': 306,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=5&All=0#Race5',
 'tce_combo_div': u'2,6,4 95,730.00',
 'trio_combo_div': u'2,4,6 10,533.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/5',
 'win_combo_div': u'2 638.50'}]",129,5,"VARA PEARL, which was restless in the barriers, lifted its front feet off the ground as the start was effected and consequently lost a considerable amount of groundBefore being allowed to race again, VARA PEARL will be required to perform satisfactorily in a barrier trialNear the 150 Metres, VARA PEARL was steadied away from the heels of GOOD METHOD when initially disappointed for running between that horse and KING'S STEED",MA,4,16.0
101.53,S218,3.75,5>5>4>6,[3],20160106,[0.0188],LDE,"[3.75, 3.25, 2.75, 3.75, None, None]","T183,V008,S218,S138,P067,S215,T055,N148,S051",HV,1025,"[28.09, 22.95, 24.94, 25.55, None, None]",5,2,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'45.00',
 'courseconfig': u'TURF - ""A"" COURSE',
 'f4_combo_div': u'2,4,5,6 19,878.00',
 'finishtime': 100.92,
 'going': u'GOOD',
 'place_combo_div': u'2 121.00',
 'qn_combo_div': u'2,6 7,427.00',
 'qnp_combo_div': u'2,6 1,515.00',
 'qtt_combo_div': u'2,6,4,5 576,803.00',
 'raceclass': u'Class 4',
 'racedistance': 1650,
 'raceindex': 306,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=5&All=0#Race5',
 'tce_combo_div': u'2,6,4 95,730.00',
 'trio_combo_div': u'2,4,6 10,533.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/5',
 'win_combo_div': u'2 638.50'}]",115,12,"WINNING MASCOT was crowded for room on jumping between GOOD METHOD which was taken out by PEARL WARM WARM and KING'S STEED which was taken in by HAPPY SPIRITNear the 150 Metres, VARA PEARL was steadied away from the heels of GOOD METHOD when initially disappointed for running between that horse and KING'S STEED",SCS,6,7.2
102.25,L342,8.25,8>8>7>8,[8],20160106,[0.0189],CAN,"[6.25, 5.75, 4.75, 8.25, None, None]","T183,V008,S218,S138,P067,S215,T055,L342,N148,S051",HV,1095,"[28.49, 22.95, 24.86, 25.95, None, None]",5,3,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'45.00',
 'courseconfig': u'TURF - ""A"" COURSE',
 'f4_combo_div': u'2,4,5,6 19,878.00',
 'finishtime': 100.92,
 'going': u'GOOD',
 'place_combo_div': u'2 121.00',
 'qn_combo_div': u'2,6 7,427.00',
 'qnp_combo_div': u'2,6 1,515.00',
 'qtt_combo_div': u'2,6,4,5 576,803.00',
 'raceclass': u'Class 4',
 'racedistance': 1650,
 'raceindex': 306,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=5&All=0#Race5',
 'tce_combo_div': u'2,6,4 95,730.00',
 'trio_combo_div': u'2,4,6 10,533.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/5',
 'win_combo_div': u'2 638.50'}]",121,10,WINNING MASCOT was crowded for room on jumping between GOOD METHOD which was taken out by PEARL WARM WARM and KING'S STEED which was taken in by HAPPY SPIRIT,CCW,8,47.0
102.47,S038,9.75,1>1>1>10,[4],20160106,[0.0189],PZ,"[0.75, 1.75, 0.75, 9.75, None, None]","T183,V008,S218,S038,S138,P067,S215,T055,L342,N148,S051",HV,1182,"[27.49, 23.03, 25.02, 26.93, None, None]",5,9,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'45.00',
 'courseconfig': u'TURF - ""A"" COURSE',
 'f4_combo_div': u'2,4,5,6 19,878.00',
 'finishtime': 100.92,
 'going': u'GOOD',
 'place_combo_div': u'2 121.00',
 'qn_combo_div': u'2,6 7,427.00',
 'qnp_combo_div': u'2,6 1,515.00',
 'qtt_combo_div': u'2,6,4,5 576,803.00',
 'raceclass': u'Class 4',
 'racedistance': 1650,
 'raceindex': 306,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=5&All=0#Race5',
 'tce_combo_div': u'2,6,4 95,730.00',
 'trio_combo_div': u'2,4,6 10,533.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/5',
 'win_combo_div': u'2 638.50'}]",122,9,"He said in accordance with his instructions he rode HAPPY SPIRIT for some distance in the early stages in an attempt to lead, however, it did not show sufficient speed to prevent BRIGHT CONCEPT from crossing his mount approaching the winning post on the first occasionWhen questioned, Z Purton stated that he had been instructed to lead on BRIGHT CONCEPT and to allow the horse to run along in the early and middle stagesHe said BRIGHT CONCEPT had previously performed well over a similar distance at Sha Tin on 5 July 2015 when allowed to run along in front and not be restrained and it was for this reason that he was asked to ride the horse similarly tonightHe said after obtaining the lead passing the winning post on the first occasion, he did not ride the horse along, however, as instructed, he did not restrain BRIGHT CONCEPT which resulted in the race being run at a strong tempoHe added, unlike in the referred race when the horse was allowed to stride along in front, BRIGHT CONCEPT did not finish off the race tonight and gave ground in the StraightMr W Y So, the trainer of BRIGHT CONCEPT, confirmed that it had been agreed for the horse to be allowed to stride along tonight due to it previously racing well when ridden in this mannerZ Purton was advised that whilst BRIGHT CONCEPT had been allowed to stride along at a good tempo in the previous race that he referred to, nonetheless the sectionals on that occasion were not as fast as they were in this raceA veterinary inspection of BRIGHT CONCEPT immediately following the race did not show any significant findings",SWY,10,9.1
106.59,P422,35.5,2>6>12>12,[9],20160106,[0.0197],HCY,"[0.75, 3.75, 9.25, 35.5, None, None]","T183,V008,S218,S038,S138,P067,S215,T055,P422,L342,N148,S051",HV,1225,"[27.61, 23.51, 25.9, 29.57, None, None]",5,6,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'45.00',
 'courseconfig': u'TURF - ""A"" COURSE',
 'f4_combo_div': u'2,4,5,6 19,878.00',
 'finishtime': 100.92,
 'going': u'GOOD',
 'place_combo_div': u'2 121.00',
 'qn_combo_div': u'2,6 7,427.00',
 'qnp_combo_div': u'2,6 1,515.00',
 'qtt_combo_div': u'2,6,4,5 576,803.00',
 'raceclass': u'Class 4',
 'racedistance': 1650,
 'raceindex': 306,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=5&All=0#Race5',
 'tce_combo_div': u'2,6,4 95,730.00',
 'trio_combo_div': u'2,4,6 10,533.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/5',
 'win_combo_div': u'2 638.50'}]",131,1,"Throughout the race, ROBUST MOMENTUM travelled wide and without cover and in the Straight gave groundA veterinary inspection of ROBUST MOMENTUM immediately following the race did not show any significant findingsThe performance of ROBUST MOMENTUM, which finished tailed out, was considered unacceptableBefore being allowed to race again, ROBUST MOMENTUM will be required to perform to the satisfaction of the Stewards in a barrier trial and be subjected to an official veterinary examinationHe added, passing the winning post on the first occasion, ROBUST MOMENTUM was ridden along in an attempt to cross HAPPY SPIRIT and therefore he had to again ride his mount along for some distance to prevent ROBUST MOMENTUM from crossing his mount so as to comply with his instructions",FC,12,32.0
108.52,P294,0.0,8>7>6>6>1,,20160106,,LDE,"[3.5, 4.75, 3.25, 3.25, 0.5, None]",,HV,1150,"[13.87, 22.87, 24.08, 24.37, 23.33, None]",7,2,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'29.50',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl6_combo_div': u'9/8 705.50',
 'dbltrio2_combo_div': u'4,7,9/6,8,11 73,068.00',
 'f4_combo_div': u'6,7,8,11 2,842.00',
 'finishtime': 108.52,
 'going': u'GOOD',
 'place_combo_div': u'8 48.50',
 'qn_combo_div': u'6,8 517.00',
 'qnp_combo_div': u'6,8 155.50',
 'qtt_combo_div': u'8,6,11,7 97,345.00',
 'raceclass': u'Hong Kong Group Three',
 'racedistance': 1800,
 'raceindex': 308,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=7&All=0#Race7',
 'tce_combo_div': u'8,6,11 15,543.00',
 'trio_combo_div': u'6,8,11 1,690.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/7',
 'win_combo_div': u'8 195.00'}]",117,8,,HL,1,19.0
108.62,P345,0.5,11>9>9>8>3,,20160106,,CYT,"[5.0, 6.75, 4.75, 4.75, 0.5, None]",,HV,1115,"[14.11, 22.95, 24.0, 24.37, 23.19, None]",7,3,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'29.50',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl6_combo_div': u'9/8 705.50',
 'dbltrio2_combo_div': u'4,7,9/6,8,11 73,068.00',
 'f4_combo_div': u'6,7,8,11 2,842.00',
 'finishtime': 108.52,
 'going': u'GOOD',
 'place_combo_div': u'8 48.50',
 'qn_combo_div': u'6,8 517.00',
 'qnp_combo_div': u'6,8 155.50',
 'qtt_combo_div': u'8,6,11,7 97,345.00',
 'raceclass': u'Hong Kong Group Three',
 'racedistance': 1800,
 'raceindex': 308,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=7&All=0#Race7',
 'tce_combo_div': u'8,6,11 15,543.00',
 'trio_combo_div': u'6,8,11 1,690.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/7',
 'win_combo_div': u'8 195.00'}]",115,11,,JM,3,13.0
109.07,P080,3.5,7>8>8>9>5,,20160106,,LHW,"[3.0, 5.75, 4.75, 5.0, 3.5, None]",,HV,1082,"[13.79, 23.11, 24.16, 24.41, 23.6, None]",7,6,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'29.50',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl6_combo_div': u'9/8 705.50',
 'dbltrio2_combo_div': u'4,7,9/6,8,11 73,068.00',
 'f4_combo_div': u'6,7,8,11 2,842.00',
 'finishtime': 108.52,
 'going': u'GOOD',
 'place_combo_div': u'8 48.50',
 'qn_combo_div': u'6,8 517.00',
 'qnp_combo_div': u'6,8 155.50',
 'qtt_combo_div': u'8,6,11,7 97,345.00',
 'raceclass': u'Hong Kong Group Three',
 'racedistance': 1800,
 'raceindex': 308,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=7&All=0#Race7',
 'tce_combo_div': u'8,6,11 15,543.00',
 'trio_combo_div': u'6,8,11 1,690.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/7',
 'win_combo_div': u'8 195.00'}]",113,12,,MA,5,14.0
109.49,S152,6.0,4>6>7>7>7,,20160106,,HCY,"[1.75, 4.0, 3.5, 4.5, 6.0, None]",,HV,1228,"[13.59, 23.03, 24.24, 24.53, 24.1, None]",7,5,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'29.50',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl6_combo_div': u'9/8 705.50',
 'dbltrio2_combo_div': u'4,7,9/6,8,11 73,068.00',
 'f4_combo_div': u'6,7,8,11 2,842.00',
 'finishtime': 108.52,
 'going': u'GOOD',
 'place_combo_div': u'8 48.50',
 'qn_combo_div': u'6,8 517.00',
 'qnp_combo_div': u'6,8 155.50',
 'qtt_combo_div': u'8,6,11,7 97,345.00',
 'raceclass': u'Hong Kong Group Three',
 'racedistance': 1800,
 'raceindex': 308,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=7&All=0#Race7',
 'tce_combo_div': u'8,6,11 15,543.00',
 'trio_combo_div': u'6,8,11 1,690.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/7',
 'win_combo_div': u'8 195.00'}]",133,1,,CAS,7,35.0
109.52,S145,6.25,9>12>11>11>9,,20160106,,BEG,"[4.5, 9.0, 7.25, 6.25, 6.25, None]",,HV,1174,"[14.03, 23.39, 24.04, 24.21, 23.85, None]",7,10,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'29.50',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl6_combo_div': u'9/8 705.50',
 'dbltrio2_combo_div': u'4,7,9/6,8,11 73,068.00',
 'f4_combo_div': u'6,7,8,11 2,842.00',
 'finishtime': 108.52,
 'going': u'GOOD',
 'place_combo_div': u'8 48.50',
 'qn_combo_div': u'6,8 517.00',
 'qnp_combo_div': u'6,8 155.50',
 'qtt_combo_div': u'8,6,11,7 97,345.00',
 'raceclass': u'Hong Kong Group Three',
 'racedistance': 1800,
 'raceindex': 308,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=7&All=0#Race7',
 'tce_combo_div': u'8,6,11 15,543.00',
 'trio_combo_div': u'6,8,11 1,690.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/7',
 'win_combo_div': u'8 195.00'}]",124,2,,JM,9,22.0
110.08,P118,9.75,10>10>10>10>11,,20160106,,PZ,"[4.5, 7.5, 6.25, 5.75, 9.75, None]",,HV,1132,"[14.03, 23.15, 24.12, 24.29, 24.49, None]",7,4,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'29.50',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl6_combo_div': u'9/8 705.50',
 'dbltrio2_combo_div': u'4,7,9/6,8,11 73,068.00',
 'f4_combo_div': u'6,7,8,11 2,842.00',
 'finishtime': 108.52,
 'going': u'GOOD',
 'place_combo_div': u'8 48.50',
 'qn_combo_div': u'6,8 517.00',
 'qnp_combo_div': u'6,8 155.50',
 'qtt_combo_div': u'8,6,11,7 97,345.00',
 'raceclass': u'Hong Kong Group Three',
 'racedistance': 1800,
 'raceindex': 308,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=7&All=0#Race7',
 'tce_combo_div': u'8,6,11 15,543.00',
 'trio_combo_div': u'6,8,11 1,690.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/7',
 'win_combo_div': u'8 195.00'}]",122,5,,FC,11,4.4
108.62,S393,0.5,1>1>1>1>2,[2],20160106,[0.0184],CAN,"[0.5, 0.5, 0.75, 1.5, 0.5, None]","P118,S393,P345,P080,P294,S145,S152",HV,1149,"[13.31, 22.67, 24.32, 24.37, 23.95, None]",7,9,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'29.50',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl6_combo_div': u'9/8 705.50',
 'dbltrio2_combo_div': u'4,7,9/6,8,11 73,068.00',
 'f4_combo_div': u'6,7,8,11 2,842.00',
 'finishtime': 108.52,
 'going': u'GOOD',
 'place_combo_div': u'8 48.50',
 'qn_combo_div': u'6,8 517.00',
 'qnp_combo_div': u'6,8 155.50',
 'qtt_combo_div': u'8,6,11,7 97,345.00',
 'raceclass': u'Hong Kong Group Three',
 'racedistance': 1800,
 'raceindex': 308,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=7&All=0#Race7',
 'tce_combo_div': u'8,6,11 15,543.00',
 'trio_combo_div': u'6,8,11 1,690.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/7',
 'win_combo_div': u'8 195.00'}]",120,6,"ENSURING, FLAME HERO and ROMANTIC TOUCH were sent for sampling",CAS,2,5.9
