finishtime,horsecode,lbw,runningpositions,winoddsrank,racedate,timeperm,jockeycode,marginsbehindleader,todaysrunners,racecoursecode,horsewt,sec_timelist,racenumber,secfinishtime,draw,hkjcres16_item,actualwt,horseno,horsereport,trainercode,place,winodds
82.47,S133,1.75,7>6>6>4,7,20160117,1.8,TEK,"[3.25, 3.25, 2.5, 1.75, None, None]","T062,S420,T371,S419,T184,T112,S133,N348,T380",ST,1143,"[14.34, 22.48, 23.17, 22.48, None, None]",10,1.22.47,1,"[{'a1_div': u'NOT WIN',
 'a2_div': u'47.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C+3"" COURSE',
 'dbl9_combo_div': u'5/2 607.50',
 'dbltrio3_combo_div': u'4,5,12/2,3,8,9,12 1,826.00',
 'f4_combo_div': u'2,3,8,13 294.00',
 'finishtime': 82.18,
 'going': u'GOOD',
 'jockeychallenge_combo_div': u'1 [J Moreira]',
 'place_combo_div': u'2 17.00',
 'qn_combo_div': u'2,3 90.50',
 'qnp_combo_div': u'2,3 29.00',
 'qtt_combo_div': u'2,3,8,13 6,557.00',
 'raceclass': u'Class 3',
 'racedistance': 1400,
 'raceindex': 337,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=17/01/2016&Raceno=10&All=0#Race10',
 'sixup_combo_div': u'2,10/4,8/1,5/9,10/5,12/2,3 5,268.00',
 'tce_combo_div': u'2,3,8 506.00',
 'trio_combo_div': u'2,3,8 63.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/10',
 'win_combo_div': u'2 59.00'}]",115,13,"Passing the 200 Metres, SOUL ACHIEVER raced tight inside HAPPY AGILITY",MA,4,33.0
83.17,N174,6.25,10>10>11>6,7,20160117,1.81,PB,"[3.75, 5.75, 4.5, 6.25, None, None]","T062,S420,T371,S419,T184,T112,N174,S133,N348,T380",ST,1093,"[14.42, 22.8, 23.09, 22.86, None, None]",10,1.23.17,7,"[{'a1_div': u'NOT WIN',
 'a2_div': u'47.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C+3"" COURSE',
 'dbl9_combo_div': u'5/2 607.50',
 'dbltrio3_combo_div': u'4,5,12/2,3,8,9,12 1,826.00',
 'f4_combo_div': u'2,3,8,13 294.00',
 'finishtime': 82.18,
 'going': u'GOOD',
 'jockeychallenge_combo_div': u'1 [J Moreira]',
 'place_combo_div': u'2 17.00',
 'qn_combo_div': u'2,3 90.50',
 'qnp_combo_div': u'2,3 29.00',
 'qtt_combo_div': u'2,3,8,13 6,557.00',
 'raceclass': u'Class 3',
 'racedistance': 1400,
 'raceindex': 337,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=17/01/2016&Raceno=10&All=0#Race10',
 'sixup_combo_div': u'2,10/4,8/1,5/9,10/5,12/2,3 5,268.00',
 'tce_combo_div': u'2,3,8 506.00',
 'trio_combo_div': u'2,3,8 63.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/10',
 'win_combo_div': u'2 59.00'}]",125,6,"GREAT TREASURE began awkwardly and was then crowded for room shortly after the start between LUCKY SCEPTER and HAPPY AGILITY which shifted inMaking the turn after the 900 Metres, LUCKY SCEPTER got its head up when awkwardly placed close to the heels of MASSIVE MILLENNIUMPassing the 350 Metres, LUCKY SCEPTER was awkwardly placed outside the heels of MASSIVE MILLENNIUM which shifted outApproaching the 300 Metres, RAINBOW GOLD shifted out away from LUCKY SCEPTER, resulting in the horse being awkwardly placed close to the heels of LOTUS BREEZE",LKW,6,23.0
83.19,T381,6.25,9>8>7>8,11,20160117,1.81,FRA,"[3.5, 4.25, 3.25, 6.25, None, None]","T062,S420,T371,S419,T184,T112,N174,S133,N348,T380,T381",ST,1163,"[14.38, 22.6, 23.13, 23.08, None, None]",10,1.23.19,2,"[{'a1_div': u'NOT WIN',
 'a2_div': u'47.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C+3"" COURSE',
 'dbl9_combo_div': u'5/2 607.50',
 'dbltrio3_combo_div': u'4,5,12/2,3,8,9,12 1,826.00',
 'f4_combo_div': u'2,3,8,13 294.00',
 'finishtime': 82.18,
 'going': u'GOOD',
 'jockeychallenge_combo_div': u'1 [J Moreira]',
 'place_combo_div': u'2 17.00',
 'qn_combo_div': u'2,3 90.50',
 'qnp_combo_div': u'2,3 29.00',
 'qtt_combo_div': u'2,3,8,13 6,557.00',
 'raceclass': u'Class 3',
 'racedistance': 1400,
 'raceindex': 337,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=17/01/2016&Raceno=10&All=0#Race10',
 'sixup_combo_div': u'2,10/4,8/1,5/9,10/5,12/2,3 5,268.00',
 'tce_combo_div': u'2,3,8 506.00',
 'trio_combo_div': u'2,3,8 63.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/10',
 'win_combo_div': u'2 59.00'}]",126,4,"MASSIVE MILLENNIUM began awkwardly and lost groundMaking the turn after the 900 Metres, LUCKY SCEPTER got its head up when awkwardly placed close to the heels of MASSIVE MILLENNIUMPassing the 350 Metres, LUCKY SCEPTER was awkwardly placed outside the heels of MASSIVE MILLENNIUM which shifted out",FD,8,99.0
83.32,S044,7.25,11>12>12>10,6,20160117,1.81,SCC,"[4.5, 6.25, 5.25, 7.25, None, None]","T062,S420,T371,S419,T184,S044,T112,N174,S133,N348,T380,T381",ST,1184,"[14.54, 22.76, 23.13, 22.89, None, None]",10,1.23.32,10,"[{'a1_div': u'NOT WIN',
 'a2_div': u'47.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C+3"" COURSE',
 'dbl9_combo_div': u'5/2 607.50',
 'dbltrio3_combo_div': u'4,5,12/2,3,8,9,12 1,826.00',
 'f4_combo_div': u'2,3,8,13 294.00',
 'finishtime': 82.18,
 'going': u'GOOD',
 'jockeychallenge_combo_div': u'1 [J Moreira]',
 'place_combo_div': u'2 17.00',
 'qn_combo_div': u'2,3 90.50',
 'qnp_combo_div': u'2,3 29.00',
 'qtt_combo_div': u'2,3,8,13 6,557.00',
 'raceclass': u'Class 3',
 'racedistance': 1400,
 'raceindex': 337,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=17/01/2016&Raceno=10&All=0#Race10',
 'sixup_combo_div': u'2,10/4,8/1,5/9,10/5,12/2,3 5,268.00',
 'tce_combo_div': u'2,3,8 506.00',
 'trio_combo_div': u'2,3,8 63.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/10',
 'win_combo_div': u'2 59.00'}]",126,5,"C Schofield (NUMERO UNO) explained that as the horse had finished off its most recent start strongly when coming from the rear of the field, when it drew wide today, he was asked to ride it in a similar mannerHe said however that today NUMERO UNO did not finish off the race in the same manner albeit it appeared difficult for horses to make up groundA veterinary inspection of LOTUS BREEZE and NUMERO UNO immediately following the race did not show any significant findings",YTP,10,16.0
84.37,T237,13.75,6>7>8>12,11,20160117,1.84,YML,"[2.5, 3.75, 3.75, 13.75, None, None]","T062,S420,T371,S419,T184,S044,T112,N174,S133,N348,T237,T380,T381",ST,1034,"[14.22, 22.68, 23.29, 24.18, None, None]",10,1.24.37,4,"[{'a1_div': u'NOT WIN',
 'a2_div': u'47.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C+3"" COURSE',
 'dbl9_combo_div': u'5/2 607.50',
 'dbltrio3_combo_div': u'4,5,12/2,3,8,9,12 1,826.00',
 'f4_combo_div': u'2,3,8,13 294.00',
 'finishtime': 82.18,
 'going': u'GOOD',
 'jockeychallenge_combo_div': u'1 [J Moreira]',
 'place_combo_div': u'2 17.00',
 'qn_combo_div': u'2,3 90.50',
 'qnp_combo_div': u'2,3 29.00',
 'qtt_combo_div': u'2,3,8,13 6,557.00',
 'raceclass': u'Class 3',
 'racedistance': 1400,
 'raceindex': 337,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=17/01/2016&Raceno=10&All=0#Race10',
 'sixup_combo_div': u'2,10/4,8/1,5/9,10/5,12/2,3 5,268.00',
 'tce_combo_div': u'2,3,8 506.00',
 'trio_combo_div': u'2,3,8 63.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/10',
 'win_combo_div': u'2 59.00'}]",115,11,"After the 1300 Metres, RAINBOW GOLD shifted out towards the heels of HAPPY AGILITY which was shifting inThis resulted in RAINBOW GOLD being awkwardly placed close to the heels of HAPPY AGILITY approaching the 1200 MetresAfter this, RAINBOW GOLD was left racing wide and without coverApproaching the 300 Metres, RAINBOW GOLD shifted out away from LUCKY SCEPTER, resulting in the horse being awkwardly placed close to the heels of LOTUS BREEZE",LAL,12,99.0
None,T181,None,,2,20160117,None,LDE,"[None, None, None, None, None, None]","T062,T181,S420,T371,S419,T184,S044,T112,N174,S133,N348,T237,T380,T381",ST,1265,"[None, None, None, None, None, None]",10,---,---,"[{'a1_div': u'NOT WIN',
 'a2_div': u'47.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C+3"" COURSE',
 'dbl9_combo_div': u'5/2 607.50',
 'dbltrio3_combo_div': u'4,5,12/2,3,8,9,12 1,826.00',
 'f4_combo_div': u'2,3,8,13 294.00',
 'finishtime': 82.18,
 'going': u'GOOD',
 'jockeychallenge_combo_div': u'1 [J Moreira]',
 'place_combo_div': u'2 17.00',
 'qn_combo_div': u'2,3 90.50',
 'qnp_combo_div': u'2,3 29.00',
 'qtt_combo_div': u'2,3,8,13 6,557.00',
 'raceclass': u'Class 3',
 'racedistance': 1400,
 'raceindex': 337,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=17/01/2016&Raceno=10&All=0#Race10',
 'sixup_combo_div': u'2,10/4,8/1,5/9,10/5,12/2,3 5,268.00',
 'tce_combo_div': u'2,3,8 506.00',
 'trio_combo_div': u'2,3,8 63.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160117/ST/10',
 'win_combo_div': u'2 59.00'}]",113,12,"GLENEALY PRIZE was also withdrawn on raceday morning by order of the Stewards acting on veterinary advice (lame left fore)Before being allowed to race again, PENANG HALL and GLENEALY PRIZE will be subjected to an official veterinary examination",OSP,WV,None
100.68,T146,0.0,2>2>2>1,,20160106,,YML,"[0.3, 0.75, 0.1, 0.75, None, None]",,HV,1075,"[27.75, 24.43, 24.53, 23.97, None, None]",3,1.40.68,8,"[{'a1_div': u'NOT WIN',
 'a2_div': u'28.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl2_combo_div': u'2/6 1,524.50',
 'f4_combo_div': u'1,4,6,7 2,216.00',
 'finishtime': 100.68,
 'going': u'GOOD',
 'place_combo_div': u'6 26.50',
 'qn_combo_div': u'1,6 1,493.00',
 'qnp_combo_div': u'1,6 369.50',
 'qtt_combo_div': u'6,1,4,7 57,262.00',
 'raceclass': u'Class 3',
 'racedistance': 1650,
 'raceindex': 304,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,1,4 14,469.00',
 'trio_combo_div': u'1,4,6 2,799.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/3',
 'win_combo_div': u'6 78.00'}]",123,6,,CAS,1,7.8
100.82,P264,0.75,8>8>8>3,,20160106,,BEG,"[3.5, 3.75, 3.0, 0.75, None, None]",,HV,1108,"[28.27, 24.39, 24.53, 23.63, None, None]",3,1.40.82,9,"[{'a1_div': u'NOT WIN',
 'a2_div': u'28.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl2_combo_div': u'2/6 1,524.50',
 'f4_combo_div': u'1,4,6,7 2,216.00',
 'finishtime': 100.68,
 'going': u'GOOD',
 'place_combo_div': u'6 26.50',
 'qn_combo_div': u'1,6 1,493.00',
 'qnp_combo_div': u'1,6 369.50',
 'qtt_combo_div': u'6,1,4,7 57,262.00',
 'raceclass': u'Class 3',
 'racedistance': 1650,
 'raceindex': 304,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,1,4 14,469.00',
 'trio_combo_div': u'1,4,6 2,799.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/3',
 'win_combo_div': u'6 78.00'}]",130,4,,SJJ,3,8.1
100.96,S434,1.75,5>4>3>5,,20160106,,WD,"[2.0, 1.75, 1.5, 1.75, None, None]",,HV,1080,"[28.03, 24.31, 24.61, 24.01, None, None]",3,1.40.96,1,"[{'a1_div': u'NOT WIN',
 'a2_div': u'28.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl2_combo_div': u'2/6 1,524.50',
 'f4_combo_div': u'1,4,6,7 2,216.00',
 'finishtime': 100.68,
 'going': u'GOOD',
 'place_combo_div': u'6 26.50',
 'qn_combo_div': u'1,6 1,493.00',
 'qnp_combo_div': u'1,6 369.50',
 'qtt_combo_div': u'6,1,4,7 57,262.00',
 'raceclass': u'Class 3',
 'racedistance': 1650,
 'raceindex': 304,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,1,4 14,469.00',
 'trio_combo_div': u'1,4,6 2,799.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/3',
 'win_combo_div': u'6 78.00'}]",129,5,,SCS,5,4.0
101.15,T145,3.0,10>9>9>7,,20160106,,TEK,"[5.5, 5.0, 4.75, 3.0, None, None]",,HV,1051,"[28.59, 24.27, 24.61, 23.68, None, None]",3,1.41.15,4,"[{'a1_div': u'NOT WIN',
 'a2_div': u'28.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl2_combo_div': u'2/6 1,524.50',
 'f4_combo_div': u'1,4,6,7 2,216.00',
 'finishtime': 100.68,
 'going': u'GOOD',
 'place_combo_div': u'6 26.50',
 'qn_combo_div': u'1,6 1,493.00',
 'qnp_combo_div': u'1,6 369.50',
 'qtt_combo_div': u'6,1,4,7 57,262.00',
 'raceclass': u'Class 3',
 'racedistance': 1650,
 'raceindex': 304,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,1,4 14,469.00',
 'trio_combo_div': u'1,4,6 2,799.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/3',
 'win_combo_div': u'6 78.00'}]",117,12,,YTP,7,13.0
101.4,P032,4.5,7>7>7>9,,20160106,,PB,"[3.25, 3.5, 2.75, 4.5, None, None]",,HV,1025,"[28.23, 24.39, 24.53, 24.25, None, None]",3,1.41.40,2,"[{'a1_div': u'NOT WIN',
 'a2_div': u'28.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl2_combo_div': u'2/6 1,524.50',
 'f4_combo_div': u'1,4,6,7 2,216.00',
 'finishtime': 100.68,
 'going': u'GOOD',
 'place_combo_div': u'6 26.50',
 'qn_combo_div': u'1,6 1,493.00',
 'qnp_combo_div': u'1,6 369.50',
 'qtt_combo_div': u'6,1,4,7 57,262.00',
 'raceclass': u'Class 3',
 'racedistance': 1650,
 'raceindex': 304,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,1,4 14,469.00',
 'trio_combo_div': u'1,4,6 2,799.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/3',
 'win_combo_div': u'6 78.00'}]",123,9,,SWY,9,9.3
102.15,N401,9.25,3>3>5>11,,20160106,,HCY,"[1.25, 1.75, 1.75, 9.25, None, None]",,HV,1093,"[27.91, 24.43, 24.65, 25.16, None, None]",3,1.42.15,12,"[{'a1_div': u'NOT WIN',
 'a2_div': u'28.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl2_combo_div': u'2/6 1,524.50',
 'f4_combo_div': u'1,4,6,7 2,216.00',
 'finishtime': 100.68,
 'going': u'GOOD',
 'place_combo_div': u'6 26.50',
 'qn_combo_div': u'1,6 1,493.00',
 'qnp_combo_div': u'1,6 369.50',
 'qtt_combo_div': u'6,1,4,7 57,262.00',
 'raceclass': u'Class 3',
 'racedistance': 1650,
 'raceindex': 304,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,1,4 14,469.00',
 'trio_combo_div': u'1,4,6 2,799.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/3',
 'win_combo_div': u'6 78.00'}]",121,8,,LKW,11,34.0
100.8,N384,0.75,11>11>12>2,7,20160106,1.86,RN,"[7.25, 6.5, 5.75, 0.75, None, None]","S434,T146,P264,P032,T145,N401,N384",HV,1178,"[28.87, 24.23, 24.53, 23.17, None, None]",3,1.40.80,10,"[{'a1_div': u'NOT WIN',
 'a2_div': u'28.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl2_combo_div': u'2/6 1,524.50',
 'f4_combo_div': u'1,4,6,7 2,216.00',
 'finishtime': 100.68,
 'going': u'GOOD',
 'place_combo_div': u'6 26.50',
 'qn_combo_div': u'1,6 1,493.00',
 'qnp_combo_div': u'1,6 369.50',
 'qtt_combo_div': u'6,1,4,7 57,262.00',
 'raceclass': u'Class 3',
 'racedistance': 1650,
 'raceindex': 304,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,1,4 14,469.00',
 'trio_combo_div': u'1,4,6 2,799.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/3',
 'win_combo_div': u'6 78.00'}]",133,1,"RED DANCER shifted out at the start and bumped AMAZINGLYPassing the 300 Metres, AMAZINGLY shifted out and bumped PEARL FURUFOODIE, JOLLY GENE and AMAZINGLY were sent for sampling",FD,2,38.0
100.82,P281,0.75,4>5>4>4,2,20160106,1.86,PZ,"[2.0, 2.25, 1.5, 0.75, None, None]","S434,P281,T146,P264,P032,T145,N401,N384",HV,1113,"[28.03, 24.39, 24.53, 23.87, None, None]",3,1.40.82,3,"[{'a1_div': u'NOT WIN',
 'a2_div': u'28.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl2_combo_div': u'2/6 1,524.50',
 'f4_combo_div': u'1,4,6,7 2,216.00',
 'finishtime': 100.68,
 'going': u'GOOD',
 'place_combo_div': u'6 26.50',
 'qn_combo_div': u'1,6 1,493.00',
 'qnp_combo_div': u'1,6 369.50',
 'qtt_combo_div': u'6,1,4,7 57,262.00',
 'raceclass': u'Class 3',
 'racedistance': 1650,
 'raceindex': 304,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,1,4 14,469.00',
 'trio_combo_div': u'1,4,6 2,799.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/3',
 'win_combo_div': u'6 78.00'}]",124,7,"Approaching the 1500 Metres, WIN IT was steadied after momentarily racing in restricted room between FOODIE and JAEGER BOMB which raced tight inside MARVEL TRIBE",FC,4,4.6
101.06,N284,2.5,12>12>10>6,9,20160106,1.87,LDE,"[7.5, 6.75, 4.75, 2.5, None, None]","S434,P281,T146,P264,P032,T145,N401,N384,N284",HV,1055,"[28.91, 24.23, 24.33, 23.59, None, None]",3,1.41.06,11,"[{'a1_div': u'NOT WIN',
 'a2_div': u'28.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl2_combo_div': u'2/6 1,524.50',
 'f4_combo_div': u'1,4,6,7 2,216.00',
 'finishtime': 100.68,
 'going': u'GOOD',
 'place_combo_div': u'6 26.50',
 'qn_combo_div': u'1,6 1,493.00',
 'qnp_combo_div': u'1,6 369.50',
 'qtt_combo_div': u'6,1,4,7 57,262.00',
 'raceclass': u'Class 3',
 'racedistance': 1650,
 'raceindex': 304,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,1,4 14,469.00',
 'trio_combo_div': u'1,4,6 2,799.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/3',
 'win_combo_div': u'6 78.00'}]",118,10,,HL,6,84.0
101.31,S142,4.0,6>6>6>8,3,20160106,1.87,CAN,"[3.0, 3.5, 2.75, 4.0, None, None]","S434,P281,S142,T146,P264,P032,T145,N401,N384,N284",HV,1084,"[28.19, 24.43, 24.53, 24.16, None, None]",3,1.41.31,5,"[{'a1_div': u'NOT WIN',
 'a2_div': u'28.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl2_combo_div': u'2/6 1,524.50',
 'f4_combo_div': u'1,4,6,7 2,216.00',
 'finishtime': 100.68,
 'going': u'GOOD',
 'place_combo_div': u'6 26.50',
 'qn_combo_div': u'1,6 1,493.00',
 'qnp_combo_div': u'1,6 369.50',
 'qtt_combo_div': u'6,1,4,7 57,262.00',
 'raceclass': u'Class 3',
 'racedistance': 1650,
 'raceindex': 304,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,1,4 14,469.00',
 'trio_combo_div': u'1,4,6 2,799.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/3',
 'win_combo_div': u'6 78.00'}]",132,2,"Approaching the 1500 Metres, WIN IT was steadied after momentarily racing in restricted room between FOODIE and JAEGER BOMB which raced tight inside MARVEL TRIBE",YPF,8,4.7
101.54,T431,5.5,9>10>11>10,11,20160106,1.88,TON,"[5.0, 5.25, 5.0, 5.5, None, None]","S434,P281,S142,T146,P264,P032,T145,N401,N384,N284,T431",HV,1166,"[28.51, 24.39, 24.61, 24.03, None, None]",3,1.41.54,7,"[{'a1_div': u'NOT WIN',
 'a2_div': u'28.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl2_combo_div': u'2/6 1,524.50',
 'f4_combo_div': u'1,4,6,7 2,216.00',
 'finishtime': 100.68,
 'going': u'GOOD',
 'place_combo_div': u'6 26.50',
 'qn_combo_div': u'1,6 1,493.00',
 'qnp_combo_div': u'1,6 369.50',
 'qtt_combo_div': u'6,1,4,7 57,262.00',
 'raceclass': u'Class 3',
 'racedistance': 1650,
 'raceindex': 304,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,1,4 14,469.00',
 'trio_combo_div': u'1,4,6 2,799.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/3',
 'win_combo_div': u'6 78.00'}]",117,11,"PEARL FURU was crowded for room on jumping between LUCOBLU and JOLLY GENE which shifted in abruptlyPassing the 300 Metres, AMAZINGLY shifted out and bumped PEARL FURU",OSP,10,99.0
103.4,V073,17.0,1>1>1>12,8,20160106,1.91,LHW,"[0.3, 0.75, 0.1, 17.0, None, None]","S434,P281,S142,T146,P264,P032,T145,V073,N401,N384,N284,T431",HV,1158,"[27.71, 24.35, 24.65, 26.69, None, None]",3,1.43.40,6,"[{'a1_div': u'NOT WIN',
 'a2_div': u'28.00',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl2_combo_div': u'2/6 1,524.50',
 'f4_combo_div': u'1,4,6,7 2,216.00',
 'finishtime': 100.68,
 'going': u'GOOD',
 'place_combo_div': u'6 26.50',
 'qn_combo_div': u'1,6 1,493.00',
 'qnp_combo_div': u'1,6 369.50',
 'qtt_combo_div': u'6,1,4,7 57,262.00',
 'raceclass': u'Class 3',
 'racedistance': 1650,
 'raceindex': 304,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,1,4 14,469.00',
 'trio_combo_div': u'1,4,6 2,799.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/3',
 'win_combo_div': u'6 78.00'}]",130,3,PEARL FURU was crowded for room on jumping between LUCOBLU and JOLLY GENE which shifted in abruptly,MKL,12,31.0
101.33,S192,0.0,8>8>9>1,,20160106,,CYT,"[5.75, 5.25, 4.75, 0.1, None, None]",,HV,980,"[28.27, 24.18, 24.91, 23.97, None, None]",4,1.41.33,8,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'21.00',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl3_combo_div': u'6/7 1,513.50',
 'dbltrio1_combo_div': u'1,4,6/7,8,11 1,892,736.00',
 'f4_combo_div': u'4,7,8,11 13,172.00',
 'finishtime': 101.33,
 'going': u'GOOD',
 'place_combo_div': u'7 77.50',
 'qn_combo_div': u'7,8 1,862.50',
 'qnp_combo_div': u'7,8 478.00',
 'qtt_combo_div': u'7,8,11,4 431,032.00',
 'raceclass': u'Class 4',
 'racedistance': 1650,
 'raceindex': 305,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=4&All=0#Race4',
 'tce_combo_div': u'7,8,11 31,203.00',
 'trio_combo_div': u'7,8,11 4,741.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/4',
 'win_combo_div': u'7 261.00'}]",125,7,,JM,1,26.0
101.4,T385,0.3,7>6>7>3,,20160106,,HCY,"[4.5, 3.5, 4.0, 0.3, None, None]",,HV,1154,"[28.07, 24.1, 25.07, 24.16, None, None]",4,1.41.40,1,"[{'a1_div': u'NOT WIN',
 'a2_div': u'NOT WIN',
 'a3_div': u'21.00',
 'courseconfig': u'TURF - ""A"" COURSE',
 'dbl3_combo_div': u'6/7 1,513.50',
 'dbltrio1_combo_div': u'1,4,6/7,8,11 1,892,736.00',
 'f4_combo_div': u'4,7,8,11 13,172.00',
 'finishtime': 101.33,
 'going': u'GOOD',
 'place_combo_div': u'7 77.50',
 'qn_combo_div': u'7,8 1,862.50',
 'qnp_combo_div': u'7,8 478.00',
 'qtt_combo_div': u'7,8,11,4 431,032.00',
 'raceclass': u'Class 4',
 'racedistance': 1650,
 'raceindex': 305,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=06/01/2016&Raceno=4&All=0#Race4',
 'tce_combo_div': u'7,8,11 31,203.00',
 'trio_combo_div': u'7,8,11 4,741.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/4',
 'win_combo_div': u'7 261.00'}]",116,11,,FC,3,7.5
