finishtime,jockeycode,draw,horsecode,lbw,trainercode,hkjcres16_item,runningpositions,actualwt,racecoursecode,place,horsewt,winodds,horseno,racenumber,racedate
[71.3],YML,6,S431,[0.0],TYS,"[{'a1_div': [u'NOT WIN'],
 'a2_div': [u'21.00'],
 'a3_div': [u'NOT WIN'],
 'courseconfig': [u'TURF - ""C"" COURSE'],
 'dbl3_combo_div': u'6/1,6 89.50',
 'dbltrio1_combo_div': u'4,6,12/2,3>1,6 7,171.00',
 'f4_combo_div': u'1,2,3,10 636.00',
 'finishtime': [71.3],
 'going': [u'GOOD TO YIELDING'],
 'place_combo_div': u'1 14.00',
 'qn_combo_div': u'1,3 58.50',
 'qnp_combo_div': u'1,3 28.50',
 'qtt_combo_div': u'1,3,2,10 7,223.00',
 'raceclass': [u'Class 4'],
 'racedistance': [1200],
 'raceindex': [341],
 'sectional_time_url': [u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=4&All=0#Race4'],
 'tce_combo_div': u'1,3,2 1,062.00',
 'trio_combo_div': u'1,2,3 279.00',
 'url': ['http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/4'],
 'win_combo_div': u'1 32.50'}]",1>1>1,131,HV,1,1163,[3.2],1,4,20160120
[71.74],MR,9,P097,[2.75],FD,"[{'a1_div': [u'NOT WIN'],
 'a2_div': [u'21.00'],
 'a3_div': [u'NOT WIN'],
 'courseconfig': [u'TURF - ""C"" COURSE'],
 'dbl3_combo_div': u'6/1,6 89.50',
 'dbltrio1_combo_div': u'4,6,12/2,3>1,6 7,171.00',
 'f4_combo_div': u'1,2,3,10 636.00',
 'finishtime': [71.3],
 'going': [u'GOOD TO YIELDING'],
 'place_combo_div': u'1 14.00',
 'qn_combo_div': u'1,3 58.50',
 'qnp_combo_div': u'1,3 28.50',
 'qtt_combo_div': u'1,3,2,10 7,223.00',
 'raceclass': [u'Class 4'],
 'racedistance': [1200],
 'raceindex': [341],
 'sectional_time_url': [u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=4&All=0#Race4'],
 'tce_combo_div': u'1,3,2 1,062.00',
 'trio_combo_div': u'1,2,3 279.00',
 'url': ['http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/4'],
 'win_combo_div': u'1 32.50'}]",8>8>3,130,HV,3,1105,[17.0],2,4,20160120
[71.85],MOJ,4,V011,[3.5],FC,"[{'a1_div': [u'NOT WIN'],
 'a2_div': [u'21.00'],
 'a3_div': [u'NOT WIN'],
 'courseconfig': [u'TURF - ""C"" COURSE'],
 'dbl3_combo_div': u'6/1,6 89.50',
 'dbltrio1_combo_div': u'4,6,12/2,3>1,6 7,171.00',
 'f4_combo_div': u'1,2,3,10 636.00',
 'finishtime': [71.3],
 'going': [u'GOOD TO YIELDING'],
 'place_combo_div': u'1 14.00',
 'qn_combo_div': u'1,3 58.50',
 'qnp_combo_div': u'1,3 28.50',
 'qtt_combo_div': u'1,3,2,10 7,223.00',
 'raceclass': [u'Class 4'],
 'racedistance': [1200],
 'raceindex': [341],
 'sectional_time_url': [u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=4&All=0#Race4'],
 'tce_combo_div': u'1,3,2 1,062.00',
 'trio_combo_div': u'1,2,3 279.00',
 'url': ['http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/4'],
 'win_combo_div': u'1 32.50'}]",5>5>5,124,HV,5,1097,[3.5],5,4,20160120
[72.1],SCC,7,N186,[5.0],SA,"[{'a1_div': [u'NOT WIN'],
 'a2_div': [u'21.00'],
 'a3_div': [u'NOT WIN'],
 'courseconfig': [u'TURF - ""C"" COURSE'],
 'dbl3_combo_div': u'6/1,6 89.50',
 'dbltrio1_combo_div': u'4,6,12/2,3>1,6 7,171.00',
 'f4_combo_div': u'1,2,3,10 636.00',
 'finishtime': [71.3],
 'going': [u'GOOD TO YIELDING'],
 'place_combo_div': u'1 14.00',
 'qn_combo_div': u'1,3 58.50',
 'qnp_combo_div': u'1,3 28.50',
 'qtt_combo_div': u'1,3,2,10 7,223.00',
 'raceclass': [u'Class 4'],
 'racedistance': [1200],
 'raceindex': [341],
 'sectional_time_url': [u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=4&All=0#Race4'],
 'tce_combo_div': u'1,3,2 1,062.00',
 'trio_combo_div': u'1,2,3 279.00',
 'url': ['http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/4'],
 'win_combo_div': u'1 32.50'}]",9>9>7,117,HV,7,989,[26.0],12,4,20160120
[72.82],MG,2,P257,[9.5],MKL,"[{'a1_div': [u'NOT WIN'],
 'a2_div': [u'21.00'],
 'a3_div': [u'NOT WIN'],
 'courseconfig': [u'TURF - ""C"" COURSE'],
 'dbl3_combo_div': u'6/1,6 89.50',
 'dbltrio1_combo_div': u'4,6,12/2,3>1,6 7,171.00',
 'f4_combo_div': u'1,2,3,10 636.00',
 'finishtime': [71.3],
 'going': [u'GOOD TO YIELDING'],
 'place_combo_div': u'1 14.00',
 'qn_combo_div': u'1,3 58.50',
 'qnp_combo_div': u'1,3 28.50',
 'qtt_combo_div': u'1,3,2,10 7,223.00',
 'raceclass': [u'Class 4'],
 'racedistance': [1200],
 'raceindex': [341],
 'sectional_time_url': [u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=4&All=0#Race4'],
 'tce_combo_div': u'1,3,2 1,062.00',
 'trio_combo_div': u'1,2,3 279.00',
 'url': ['http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/4'],
 'win_combo_div': u'1 32.50'}]",7>7>9,126,HV,9,991,[8.8],4,4,20160120
[72.84],CYT,11,T288,[9.75],CCW,"[{'a1_div': [u'NOT WIN'],
 'a2_div': [u'21.00'],
 'a3_div': [u'NOT WIN'],
 'courseconfig': [u'TURF - ""C"" COURSE'],
 'dbl3_combo_div': u'6/1,6 89.50',
 'dbltrio1_combo_div': u'4,6,12/2,3>1,6 7,171.00',
 'f4_combo_div': u'1,2,3,10 636.00',
 'finishtime': [71.3],
 'going': [u'GOOD TO YIELDING'],
 'place_combo_div': u'1 14.00',
 'qn_combo_div': u'1,3 58.50',
 'qnp_combo_div': u'1,3 28.50',
 'qtt_combo_div': u'1,3,2,10 7,223.00',
 'raceclass': [u'Class 4'],
 'racedistance': [1200],
 'raceindex': [341],
 'sectional_time_url': [u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=4&All=0#Race4'],
 'tce_combo_div': u'1,3,2 1,062.00',
 'trio_combo_div': u'1,2,3 279.00',
 'url': ['http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/4'],
 'win_combo_div': u'1 32.50'}]",10>10>11,120,HV,11,1026,[99.0],8,4,20160120
,DSS,---,S313,,SWY,"[{'a1_div': [u'NOT WIN'],
 'a2_div': [u'21.00'],
 'a3_div': [u'NOT WIN'],
 'courseconfig': [u'TURF - ""C"" COURSE'],
 'dbl3_combo_div': u'6/1,6 89.50',
 'dbltrio1_combo_div': u'4,6,12/2,3>1,6 7,171.00',
 'f4_combo_div': u'1,2,3,10 636.00',
 'finishtime': [71.3],
 'going': [u'GOOD TO YIELDING'],
 'place_combo_div': u'1 14.00',
 'qn_combo_div': u'1,3 58.50',
 'qnp_combo_div': u'1,3 28.50',
 'qtt_combo_div': u'1,3,2,10 7,223.00',
 'raceclass': [u'Class 4'],
 'racedistance': [1200],
 'raceindex': [341],
 'sectional_time_url': [u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=4&All=0#Race4'],
 'tce_combo_div': u'1,3,2 1,062.00',
 'trio_combo_div': u'1,2,3 279.00',
 'url': ['http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/4'],
 'win_combo_div': u'1 32.50'}]",,121,HV,WV,1154,,6,4,20160120
[71.36],CAN,3,http://www.hkjc.com/english/racing/horse.asp?horseno=T324,[0.3],CAS,"[{'a1_div': [u'NOT WIN'],
 'a2_div': [u'21.00'],
 'a3_div': [u'NOT WIN'],
 'courseconfig': [u'TURF - ""C"" COURSE'],
 'dbl3_combo_div': u'6/1,6 89.50',
 'dbltrio1_combo_div': u'4,6,12/2,3>1,6 7,171.00',
 'f4_combo_div': u'1,2,3,10 636.00',
 'finishtime': [71.3],
 'going': [u'GOOD TO YIELDING'],
 'place_combo_div': u'1 14.00',
 'qn_combo_div': u'1,3 58.50',
 'qnp_combo_div': u'1,3 28.50',
 'qtt_combo_div': u'1,3,2,10 7,223.00',
 'raceclass': [u'Class 4'],
 'racedistance': [1200],
 'raceindex': [341],
 'sectional_time_url': [u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=4&All=0#Race4'],
 'tce_combo_div': u'1,3,2 1,062.00',
 'trio_combo_div': u'1,2,3 279.00',
 'url': ['http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/4'],
 'win_combo_div': u'1 32.50'}]",4-3-2,126,HV,2,1092,[4.2],3,4,20160120
[71.74],WD,10,http://www.hkjc.com/english/racing/horse.asp?horseno=S329,[2.75],WS,"[{'a1_div': [u'NOT WIN'],
 'a2_div': [u'21.00'],
 'a3_div': [u'NOT WIN'],
 'courseconfig': [u'TURF - ""C"" COURSE'],
 'dbl3_combo_div': u'6/1,6 89.50',
 'dbltrio1_combo_div': u'4,6,12/2,3>1,6 7,171.00',
 'f4_combo_div': u'1,2,3,10 636.00',
 'finishtime': [71.3],
 'going': [u'GOOD TO YIELDING'],
 'place_combo_div': u'1 14.00',
 'qn_combo_div': u'1,3 58.50',
 'qnp_combo_div': u'1,3 28.50',
 'qtt_combo_div': u'1,3,2,10 7,223.00',
 'raceclass': [u'Class 4'],
 'racedistance': [1200],
 'raceindex': [341],
 'sectional_time_url': [u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=4&All=0#Race4'],
 'tce_combo_div': u'1,3,2 1,062.00',
 'trio_combo_divfinishtime,jockeycode,draw,horsecode,lbw,trainercode,hkjcres16_item,runningpositions,actualwt,racecoursecode,place,horsewt,winodds,horseno,racenumber,racedate
[70.37],MOJ,1,V043,[0.0],SCS,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
